NAME,B03001_005E,state,year
Alabama,11011,01,2010
Alaska,4380,02,2010
Arizona,30532,04,2010
Arkansas,4740,05,2010
California,172746,06,2010
Colorado,19439,08,2010
Connecticut,247843,09,2010
Delaware,20574,10,2010
District of Columbia,3401,11,2010
Florida,792952,12,2010
Georgia,65368,13,2010
Hawaii,39885,15,2010
Idaho,2975,16,2010
Illinois,173982,17,2010
Indiana,28856,18,2010
Iowa,4480,19,2010
Kansas,8570,20,2010
Kentucky,10316,21,2010
Louisiana,10179,22,2010
Maine,5132,23,2010
Maryland,41835,24,2010
Massachusetts,253668,25,2010
Michigan,34961,26,2010
Minnesota,10760,27,2010
Mississippi,5169,28,2010
Missouri,11659,29,2010
Montana,1605,30,2010
Nebraska,2770,31,2010
Nevada,20926,32,2010
New Hampshire,11234,33,2010
New Jersey,426298,34,2010
New Mexico,7477,35,2010
New York,1104806,36,2010
North Carolina,64314,37,2010
North Dakota,962,38,2010
Ohio,87300,39,2010
Oklahoma,10352,40,2010
Oregon,7944,41,2010
Pennsylvania,351084,42,2010
Rhode Island,32012,44,2010
South Carolina,23168,45,2010
South Dakota,1484,46,2010
Tennessee,19312,47,2010
Texas,119149,48,2010
Utah,6129,49,2010
Vermont,2295,50,2010
Virginia,69861,51,2010
Washington,24253,53,2010
West Virginia,2842,54,2010
Wisconsin,41417,55,2010
Wyoming,742,56,2010
Puerto Rico,3592847,72,2010
