NAME,B03001_005E,state,year
Alabama,14814,01,2014
Alaska,6312,02,2014
Arizona,37301,04,2014
Arkansas,5121,05,2014
California,207878,06,2014
Colorado,27809,08,2014
Delaware,25011,10,2014
District of Columbia,4035,11,2014
Connecticut,275556,09,2014
Florida,936290,12,2014
Georgia,84758,13,2014
Idaho,3679,16,2014
Hawaii,46745,15,2014
Illinois,197627,17,2014
Indiana,33094,18,2014
Iowa,6113,19,2014
Kansas,9598,20,2014
Kentucky,13678,21,2014
Louisiana,12782,22,2014
Maine,5062,23,2014
Maryland,45694,24,2014
Massachusetts,284565,25,2014
Michigan,41435,26,2014
Minnesota,12744,27,2014
Mississippi,8022,28,2014
Missouri,14328,29,2014
Montana,1667,30,2014
Nebraska,4097,31,2014
Nevada,23977,32,2014
New Hampshire,11606,33,2014
New Jersey,459793,34,2014
New Mexico,7960,35,2014
New York,1114349,36,2014
North Carolina,82771,37,2014
North Dakota,1347,38,2014
Ohio,103090,39,2014
Oklahoma,13515,40,2014
Oregon,10282,41,2014
Pennsylvania,406337,42,2014
Rhode Island,36697,44,2014
South Carolina,32173,45,2014
South Dakota,1544,46,2014
Tennessee,23709,47,2014
Texas,155813,48,2014
Vermont,2808,50,2014
Utah,6932,49,2014
Virginia,84905,51,2014
Washington,30180,53,2014
West Virginia,3942,54,2014
Wisconsin,52020,55,2014
Wyoming,1169,56,2014
Puerto Rico,3485332,72,2014
