NAME,B03001_005E,state,county,year
"Autauga County, Alabama",508,01,001,2021
"Baldwin County, Alabama",1064,01,003,2021
"Barbour County, Alabama",77,01,005,2021
"Bibb County, Alabama",229,01,007,2021
"Blount County, Alabama",85,01,009,2021
"Bullock County, Alabama",112,01,011,2021
"Butler County, Alabama",0,01,013,2021
"Calhoun County, Alabama",923,01,015,2021
"Chambers County, Alabama",148,01,017,2021
"Cherokee County, Alabama",11,01,019,2021
"Chilton County, Alabama",146,01,021,2021
"Choctaw County, Alabama",0,01,023,2021
"Clarke County, Alabama",8,01,025,2021
"Clay County, Alabama",0,01,027,2021
"Cleburne County, Alabama",11,01,029,2021
"Coffee County, Alabama",1315,01,031,2021
"Colbert County, Alabama",66,01,033,2021
"Conecuh County, Alabama",0,01,035,2021
"Coosa County, Alabama",68,01,037,2021
"Covington County, Alabama",15,01,039,2021
"Crenshaw County, Alabama",67,01,041,2021
"Cullman County, Alabama",199,01,043,2021
"Dale County, Alabama",1073,01,045,2021
"Dallas County, Alabama",6,01,047,2021
"DeKalb County, Alabama",40,01,049,2021
"Elmore County, Alabama",209,01,051,2021
"Escambia County, Alabama",68,01,053,2021
"Etowah County, Alabama",437,01,055,2021
"Fayette County, Alabama",0,01,057,2021
"Franklin County, Alabama",107,01,059,2021
"Geneva County, Alabama",114,01,061,2021
"Greene County, Alabama",148,01,063,2021
"Hale County, Alabama",0,01,065,2021
"Henry County, Alabama",137,01,067,2021
"Houston County, Alabama",515,01,069,2021
"Jackson County, Alabama",183,01,071,2021
"Jefferson County, Alabama",2478,01,073,2021
"Lamar County, Alabama",0,01,075,2021
"Lauderdale County, Alabama",192,01,077,2021
"Lawrence County, Alabama",144,01,079,2021
"Lee County, Alabama",927,01,081,2021
"Limestone County, Alabama",341,01,083,2021
"Lowndes County, Alabama",9,01,085,2021
"Macon County, Alabama",18,01,087,2021
"Madison County, Alabama",3632,01,089,2021
"Marengo County, Alabama",0,01,091,2021
"Marion County, Alabama",10,01,093,2021
"Marshall County, Alabama",510,01,095,2021
"Mobile County, Alabama",1954,01,097,2021
"Monroe County, Alabama",0,01,099,2021
"Montgomery County, Alabama",794,01,101,2021
"Morgan County, Alabama",812,01,103,2021
"Perry County, Alabama",70,01,105,2021
"Pickens County, Alabama",8,01,107,2021
"Pike County, Alabama",78,01,109,2021
"Randolph County, Alabama",114,01,111,2021
"Russell County, Alabama",931,01,113,2021
"St. Clair County, Alabama",295,01,115,2021
"Shelby County, Alabama",1358,01,117,2021
"Sumter County, Alabama",0,01,119,2021
"Talladega County, Alabama",199,01,121,2021
"Tallapoosa County, Alabama",10,01,123,2021
"Tuscaloosa County, Alabama",750,01,125,2021
"Walker County, Alabama",118,01,127,2021
"Washington County, Alabama",1,01,129,2021
