NAME,median_home_value,state,year
Alabama,143200,01,2022
Alaska,302400,02,2022
Arizona,249700,04,2022
Arkansas,145300,05,2022
California,502500,06,2022
Colorado,365700,08,2022
Connecticut,262400,09,2022
Delaware,239200,10,2022
District of Columbia,657000,11,2022
Florida,308100,12,2022
Georgia,227900,13,2022
Hawaii,683500,15,2022
Idaho,246900,16,2022
Illinois,231800,17,2022
Indiana,152300,18,2022
Iowa,129600,19,2022
Kansas,122200,20,2022
Kentucky,175600,21,2022
Louisiana,203800,22,2022
Maine,248800,23,2022
Maryland,372200,24,2022
Massachusetts,424000,25,2022
Michigan,155100,26,2022
Minnesota,237600,27,2022
Mississippi,133400,28,2022
Missouri,168500,29,2022
Montana,264300,30,2022
Nebraska,142500,31,2022
Nevada,318300,32,2022
New Hampshire,325100,33,2022
New Jersey,369900,34,2022
New Mexico,186800,35,2022
New York,480800,36,2022
North Carolina,189200,37,2022
North Dakota,178300,38,2022
Ohio,152400,39,2022
Oklahoma,127100,40,2022
Oregon,344100,41,2022
Pennsylvania,182500,42,2022
Rhode Island,282600,44,2022
South Carolina,189900,45,2022
South Dakota,190400,46,2022
Tennessee,217000,47,2022
Texas,169600,48,2022
Utah,340400,49,2022
Vermont,325500,50,2022
Virginia,379400,51,2022
Washington,342300,53,2022
West Virginia,196300,54,2022
Wisconsin,172600,55,2022
Wyoming,226800,56,2022
Puerto Rico,121500,72,2022
