NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,83744,21702,28,2018,25.91
Missouri,241686,56254,29,2018,23.28
Montana,37535,7205,30,2018,19.2
Nebraska,197555,42749,31,2018,21.64
Nevada,820943,148046,32,2018,18.03
New Hampshire,45827,8180,33,2018,17.85
New Jersey,1741220,330818,34,2018,19.0
New Mexico,995268,238245,35,2018,23.94
New York,3623015,855022,36,2018,23.6
North Carolina,915426,260607,37,2018,28.47
North Dakota,25302,4668,38,2018,18.45
Ohio,418587,108209,39,2018,25.85
Oklahoma,395602,98453,40,2018,24.89
Oregon,512965,114487,41,2018,22.32
Pennsylvania,871792,255905,42,2018,29.35
Rhode Island,154384,41836,44,2018,27.1
South Carolina,265439,74200,45,2018,27.95
South Dakota,30305,7068,46,2018,23.32
Tennessee,345155,97933,47,2018,28.37
Texas,10726870,2365585,48,2018,22.05
Vermont,10444,1692,50,2018,16.2
Utah,414339,77185,49,2018,18.63
Virginia,750196,110252,51,2018,14.7
Washington,894865,174965,53,2018,19.55
West Virginia,25171,5793,54,2018,23.01
Wisconsin,375744,85596,55,2018,22.78
Wyoming,55308,11698,56,2018,21.15
Puerto Rico,3319887,1481880,72,2018,44.64
Alabama,198629,63883,01,2018,32.16
Alaska,49227,5447,02,2018,11.07
Arizona,2110760,491036,04,2018,23.26
Arkansas,215102,59173,05,2018,27.51
California,14959899,2873237,06,2018,19.21
Colorado,1157813,204322,08,2018,17.65
Delaware,84048,17928,10,2018,21.33
District of Columbia,71667,10071,11,2018,14.05
Connecticut,548176,124483,09,2018,22.71
Florida,5113554,965888,12,2018,18.89
Georgia,945965,235650,13,2018,24.91
Idaho,204105,44527,16,2018,21.82
Hawaii,142747,19934,15,2018,13.96
Illinois,2139522,366139,17,2018,17.11
Indiana,438504,107538,18,2018,24.52
Iowa,177736,38719,19,2018,21.78
Kansas,332372,69233,20,2018,20.83
Kentucky,152827,44053,21,2018,28.83
Louisiana,226869,51315,22,2018,22.62
Maine,20195,4208,23,2018,20.84
Maryland,577725,78042,24,2018,13.51
Massachusetts,762953,203145,25,2018,26.63
Michigan,485249,110015,26,2018,22.67
Minnesota,285062,56976,27,2018,19.99
