NAME,median_gross_rent,median_home_value,state,year
Mississippi,740,109300,28,2017
Missouri,784,145400,29,2017
Montana,751,209100,30,2017
Nebraska,773,142400,31,2017
Nevada,1017,216400,32,2017
New Hampshire,1052,244900,33,2017
New Jersey,1249,321100,34,2017
New Mexico,809,163900,35,2017
Alabama,747,132100,01,2017
Alaska,1200,261900,02,2017
Arizona,972,193200,04,2017
Arkansas,709,118500,05,2017
California,1358,443400,06,2017
New York,1194,293000,36,2017
North Carolina,844,161000,37,2017
North Dakota,775,174100,38,2017
Ohio,764,135100,39,2017
Oklahoma,766,125800,40,2017
Oregon,988,265700,41,2017
Pennsylvania,885,170500,42,2017
Rhode Island,957,242200,44,2017
South Carolina,836,148600,45,2017
South Dakota,696,152700,46,2017
Tennessee,808,151700,47,2017
Texas,952,151500,48,2017
Vermont,945,220600,50,2017
Utah,948,238300,49,2017
Virginia,1166,255800,51,2017
Washington,1120,286800,53,2017
West Virginia,681,111600,54,2017
Wisconsin,813,169300,55,2017
Wyoming,828,204900,56,2017
Puerto Rico,464,115300,72,2017
Delaware,1076,238600,10,2017
District of Columbia,1424,537400,11,2017
Connecticut,1123,270100,09,2017
Florida,1077,178700,12,2017
Georgia,927,158400,13,2017
Idaho,792,176800,16,2017
Hawaii,1507,563900,15,2017
Illinois,952,179700,17,2017
Indiana,782,130200,18,2017
Iowa,740,137200,19,2017
Kansas,801,139200,20,2017
Kentucky,713,130000,21,2017
Louisiana,825,152900,22,2017
Maine,808,179900,23,2017
Maryland,1311,296500,24,2017
Massachusetts,1173,352600,25,2017
Michigan,824,136400,26,2017
Minnesota,906,199700,27,2017
Colorado,1125,286100,08,2017
