NAME,median_gross_rent,median_home_value,state,year
Alabama,852,157100,01,2021
Alaska,1279,282800,02,2021
Arizona,1172,265600,04,2021
Arkansas,803,142100,05,2021
California,1698,573200,06,2021
Colorado,1437,397500,08,2021
Connecticut,1260,286700,09,2021
Delaware,1199,269700,10,2021
District of Columbia,1681,635900,11,2021
Florida,1301,248700,12,2021
Georgia,1110,206700,13,2021
Hawaii,1755,662100,15,2021
Idaho,952,266500,16,2021
Illinois,1097,212600,17,2021
Indiana,891,158500,18,2021
Iowa,845,160700,19,2021
Kansas,912,164800,20,2021
Kentucky,826,155100,21,2021
Louisiana,923,174000,22,2021
Maine,927,212100,23,2021
Maryland,1485,338500,24,2021
Massachusetts,1429,424700,25,2021
Michigan,946,172100,26,2021
Minnesota,1081,250200,27,2021
Mississippi,830,133000,28,2021
Missouri,886,171800,29,2021
Montana,886,263700,30,2021
Nebraska,909,174100,31,2021
Nevada,1238,315900,32,2021
New Hampshire,1212,288700,33,2021
New Jersey,1436,355700,34,2021
New Mexico,897,184800,35,2021
New York,1390,340600,36,2021
North Carolina,988,197500,37,2021
North Dakota,853,209900,38,2021
Ohio,870,159900,39,2021
Oklahoma,862,150800,40,2021
Oregon,1250,362200,41,2021
Pennsylvania,1013,197300,42,2021
Rhode Island,1097,292600,44,2021
South Carolina,970,181800,45,2021
South Dakota,809,187800,46,2021
Tennessee,951,193700,47,2021
Texas,1146,202600,48,2021
Utah,1171,339700,49,2021
Vermont,1070,240600,50,2021
Virginia,1326,295500,51,2021
Washington,1439,397600,53,2021
West Virginia,770,128800,54,2021
Wisconsin,916,200400,55,2021
Wyoming,878,237900,56,2021
Puerto Rico,505,111800,72,2021
