NAME,total_population,same_house_1yr_ago,moved_same_county,moved_different_county_same_state,moved_different_state,moved_from_abroad,state,year,moved_total,migration_rate,moved_from_different_state_rate,moved_from_abroad_rate
Mississippi,2954210.0,157408.0,539845.0,89382.0,217892.0,196303.0,28,2016,2796802.0,94.67,7.38,6.64
Missouri,5989469.0,303828.0,1021114.0,161759.0,429391.0,402334.0,29,2016,5685641.0,94.93,7.17,6.72
Montana,1012158.0,49762.0,164025.0,27294.0,72643.0,63703.0,30,2016,962396.0,95.08,7.18,6.29
Nebraska,1855754.0,105075.0,337021.0,53527.0,136903.0,123743.0,31,2016,1750679.0,94.34,7.38,6.67
Nevada,2806502.0,147770.0,484192.0,64993.0,187422.0,205412.0,32,2016,2658732.0,94.73,6.68,7.32
New Hampshire,1315226.0,52399.0,202303.0,39278.0,88902.0,78652.0,33,2016,1262827.0,96.02,6.76,5.98
New Jersey,8818797.0,431850.0,1481304.0,222948.0,570148.0,569779.0,34,2016,8386947.0,95.1,6.47,6.46
New Mexico,2058084.0,109184.0,367981.0,57380.0,149619.0,140182.0,35,2016,1948900.0,94.69,7.27,6.81
New York,19477011.0,950277.0,3055686.0,539127.0,1427838.0,1466428.0,36,2016,18526734.0,95.12,7.33,7.53
North Carolina,9827514.0,492646.0,1681866.0,272870.0,695460.0,654782.0,37,2016,9334868.0,94.99,7.08,6.66
North Dakota,725748.0,41005.0,116298.0,22829.0,68009.0,56500.0,38,2016,684743.0,94.35,9.37,7.79
Ohio,11456292.0,565115.0,1944096.0,313242.0,785793.0,749745.0,39,2016,10891177.0,95.07,6.86,6.54
Oklahoma,3825777.0,216006.0,686507.0,104438.0,284548.0,267980.0,40,2016,3609771.0,94.35,7.44,7.0
Oregon,3939848.0,189582.0,629394.0,98406.0,266680.0,271916.0,41,2016,3750266.0,95.19,6.77,6.9
Pennsylvania,12646855.0,577476.0,1989670.0,362681.0,867182.0,845266.0,42,2016,12069379.0,95.43,6.86,6.68
Rhode Island,1044224.0,44500.0,157639.0,35856.0,81521.0,72153.0,44,2016,999724.0,95.74,7.81,6.91
South Carolina,4779653.0,236547.0,794280.0,132956.0,346446.0,321077.0,45,2016,4543106.0,95.05,7.25,6.72
South Dakota,839406.0,48442.0,149521.0,24134.0,60722.0,56026.0,46,2016,790964.0,94.23,7.23,6.67
Tennessee,6471055.0,325206.0,1092765.0,166352.0,459392.0,435945.0,47,2016,6145849.0,94.97,7.1,6.74
Texas,26586083.0,1600334.0,5161790.0,761143.0,1977688.0,1968759.0,48,2016,24985749.0,93.98,7.44,7.41
Vermont,620627.0,24737.0,91332.0,21428.0,45826.0,35939.0,50,2016,595890.0,96.01,7.38,5.79
Utah,2899567.0,205104.0,651232.0,87445.0,248683.0,216536.0,49,2016,2694463.0,92.93,8.58,7.47
Virginia,8210448.0,410404.0,1355299.0,233534.0,590201.0,580433.0,51,2016,7800044.0,95.0,7.19,7.07
Washington,6989773.0,363770.0,1157452.0,174007.0,490320.0,514108.0,53,2016,6626003.0,94.8,7.01,7.36
West Virginia,1827842.0,83658.0,277940.0,45716.0,123410.0,108617.0,54,2016,1744184.0,95.42,6.75,5.94
