NAME,total_population,below_poverty_level,state,year,poverty_rate
Mississippi,2890347,599795,28,2018,20.75
Missouri,5907190,837930,29,2018,14.18
Montana,1016407,139063,30,2018,13.68
Nebraska,1850245,213790,31,2018,11.55
Nevada,2881404,393431,32,2018,13.65
New Hampshire,1300664,102352,33,2018,7.87
New Jersey,8707826,904132,34,2018,10.38
New Mexico,2050855,410389,35,2018,20.01
New York,19108993,2797985,36,2018,14.64
North Carolina,9881292,1523949,37,2018,15.42
North Dakota,727322,79270,38,2018,10.9
Ohio,11319092,1645986,39,2018,14.54
Oklahoma,3802004,607810,40,2018,15.99
Oregon,4004544,565247,41,2018,14.12
Pennsylvania,12380149,1578949,42,2018,12.75
Rhode Island,1016029,133055,44,2018,13.1
South Carolina,4814032,770632,45,2018,16.01
South Dakota,834921,113144,46,2018,13.55
Tennessee,6488786,1046508,47,2018,16.13
Texas,27264694,4213938,48,2018,15.46
Vermont,600334,67034,50,2018,11.17
Utah,2997963,309904,49,2018,10.34
Virginia,8162107,893580,51,2018,10.95
Washington,7161708,821621,53,2018,11.47
West Virginia,1776501,315464,54,2018,17.76
Wisconsin,5628213,668220,55,2018,11.87
Wyoming,567950,63311,56,2018,11.15
Puerto Rico,3356773,1495160,72,2018,44.54
Alabama,4742208,829400,01,2018,17.49
Alaska,720674,77865,02,2018,10.8
Arizona,6788985,1092192,04,2018,16.09
Arkansas,2903003,510337,05,2018,17.58
California,38407403,5487141,06,2018,14.29
Colorado,5409817,590504,08,2018,10.92
Delaware,923678,109798,10,2018,11.89
District of Columbia,650912,109497,11,2018,16.82
Connecticut,3474901,348449,09,2018,10.03
Florida,20178544,2983851,12,2018,14.79
Georgia,10024689,1607714,13,2018,16.04
Idaho,1656621,228882,16,2018,13.82
Hawaii,1383626,137516,15,2018,9.94
Illinois,12523283,1635603,17,2018,13.06
Indiana,6435742,908359,18,2018,14.11
Iowa,3030572,353634,19,2018,11.67
Kansas,2825033,350280,20,2018,12.4
Kentucky,4302315,772080,21,2018,17.95
Louisiana,4531598,878394,22,2018,19.38
Maine,1296990,161743,23,2018,12.47
Maryland,5862050,553496,24,2018,9.44
Massachusetts,6593960,710305,25,2018,10.77
Michigan,9731374,1457008,26,2018,14.97
Minnesota,5403634,547442,27,2018,10.13
