NAME,B03001_005E,state,year
New York,475240,36,1980
New Jersey,129960,34,1980
Illinois,66960,17,1980
Florida,60560,12,1980
Connecticut,49840,09,1980
Pennsylvania,47020,42,1980
Massachusetts,42380,25,1980
California,37940,06,1980
Ohio,16500,39,1980
Texas,14460,48,1980
Indiana,6280,18,1980
Michigan,5680,26,1980
Virginia,5400,51,1980
Wisconsin,5080,55,1980
Georgia,4860,13,1980
Maryland,4560,24,1980
North Carolina,3540,37,1980
Louisiana,2860,22,1980
Delaware,2700,10,1980
Rhode Island,2120,44,1980
Washington,2120,53,1980
Colorado,1920,08,1980
Kentucky,1840,21,1980
South Carolina,1720,45,1980
Arizona,1620,04,1980
Tennessee,1560,47,1980
Oklahoma,1540,40,1980
Alabama,1460,01,1980
Hawaii,1340,15,1980
Kansas,1300,20,1980
Missouri,1220,29,1980
District of Columbia,1020,11,1980
New Mexico,900,35,1980
Minnesota,780,27,1980
Alaska,760,02,1980
Utah,740,49,1980
Mississippi,660,28,1980
Nevada,620,32,1980
Oregon,480,41,1980
New Hampshire,480,33,1980
Maine,480,23,1980
Arkansas,420,05,1980
Nebraska,400,31,1980
Iowa,340,19,1980
West Virginia,240,54,1980
South Dakota,220,46,1980
Idaho,160,16,1980
Vermont,160,50,1980
Wyoming,120,56,1980
North Dakota,80,38,1980
Montana,60,30,1980
