NAME,total_population,avg_family_size,family_household_rate,multigenerational_rate,households_with_children_rate,state,year
Florida,514041.0,2.99,53.65,35.4,40.72,12,2021
New York,248251.0,2.68,35.83,42.03,36.53,36,2021
Pennsylvania,142252.0,3.18,37.91,35.02,40.78,42,2021
Massachusetts,129490.0,3.01,41.14,35.24,39.72,25,2021
New Jersey,126155.0,2.84,44.95,41.31,38.23,34,2021
Texas,105370.0,3.05,57.91,40.03,36.58,48,2021
Connecticut,93883.0,2.81,34.69,36.08,37.42,09,2021
Illinois,48734.0,3.12,53.04,40.08,35.37,17,2021
Ohio,40907.0,2.85,35.06,37.31,36.93,39,2021
California,40304.0,2.7,51.69,40.57,38.98,06,2021
North Carolina,40090.0,3.11,56.76,33.52,40.91,37,2021
Georgia,38120.0,3.03,59.92,31.05,45.98,13,2021
Virginia,35321.0,3.01,54.21,34.8,41.73,51,2021
Wisconsin,20897.0,2.79,35.28,45.28,30.63,55,2021
Maryland,16457.0,3.53,58.89,29.14,44.97,24,2021
Rhode Island,14008.0,2.84,36.88,30.16,39.03,44,2021
South Carolina,12723.0,2.66,72.11,47.27,36.86,45,2021
Colorado,12333.0,3.21,64.96,35.85,24.65,08,2021
Michigan,11498.0,2.58,51.54,53.89,35.07,26,2021
Indiana,11437.0,3.27,65.4,37.77,40.07,18,2021
Arizona,11367.0,2.47,60.85,57.08,35.48,04,2021
Tennessee,9825.0,3.2,72.46,30.61,45.07,47,2021
Washington,8973.0,3.15,74.12,39.08,43.58,53,2021
Oklahoma,7534.0,2.72,76.22,50.72,27.85,40,2021
Delaware,7308.0,2.63,48.76,55.81,23.84,10,2021
Alabama,6989.0,2.74,55.27,41.83,42.92,01,2021
Kansas,6263.0,2.93,62.69,20.0,52.82,20,2021
New Hampshire,5730.0,2.84,38.39,14.17,60.36,33,2021
Nevada,4944.0,2.85,44.23,27.31,37.72,32,2021
Minnesota,4106.0,3.15,71.48,38.5,35.65,27,2021
Missouri,3979.0,3.26,42.25,30.35,46.7,29,2021
Nebraska,3752.0,3.8,60.01,27.88,22.22,31,2021
Kentucky,3715.0,2.45,49.85,53.96,31.2,21,2021
Louisiana,3582.0,2.53,43.81,41.13,32.22,22,2021
District of Columbia,3503.0,1.96,35.39,38.97,34.14,11,2021
Oregon,3481.0,3.48,51.35,37.61,41.71,41,2021
Mississippi,3390.0,1.98,38.27,61.21,17.82,28,2021
Hawaii,3084.0,3.34,67.93,27.23,51.83,15,2021
New Mexico,2578.0,2.95,56.64,40.85,39.91,35,2021
Iowa,2328.0,2.91,62.66,28.92,52.41,19,2021
North Dakota,2252.0,3.65,80.15,15.07,50.37,38,2021
South Dakota,2250.0,3.16,58.6,32.68,12.35,46,2021
Arkansas,2217.0,2.71,65.18,52.98,39.92,05,2021
Idaho,1786.0,2.39,68.21,53.87,27.18,16,2021
Utah,1675.0,2.82,69.19,45.87,43.93,49,2021
West Virginia,1671.0,2.31,33.93,37.97,15.31,54,2021
Alaska,663.0,2.97,41.68,35.05,48.45,02,2021
Maine,503.0,2.46,70.62,63.57,36.43,23,2021
Wyoming,456.0,2.31,53.12,22.07,54.49,56,2021
Vermont,440.0,1.9,61.56,82.97,6.81,50,2021
Montana,348.0,2.9,100.0,10.42,89.58,30,2021
