NAME,total_population,median_income,mean_income,state,year
Florida,514041.0,20800,33246.53469479298,12,2021
New York,248251.0,14900,30212.226137405883,36,2021
Pennsylvania,142252.0,15400,25833.35927466798,42,2021
Massachusetts,129490.0,15600,27625.25754780275,25,2021
New Jersey,126155.0,18000,31898.414058227972,34,2021
Texas,105370.0,30000,44127.66516902011,48,2021
Connecticut,93883.0,17200,27970.05963255317,09,2021
Illinois,48734.0,20000,32425.623823757334,17,2021
Ohio,40907.0,19200,28502.613182512665,39,2021
California,40304.0,26600,45389.32753288956,06,2021
North Carolina,40090.0,18400,33153.36576942054,37,2021
Georgia,38120.0,31700,51244.27182231429,13,2021
Virginia,35321.0,32500,49572.60161113145,51,2021
Wisconsin,20897.0,22000,32879.50997782705,55,2021
Maryland,16457.0,35000,55023.9089401862,24,2021
Rhode Island,14008.0,17400,30923.365091463416,44,2021
South Carolina,12723.0,31700,43706.81756180733,45,2021
Colorado,12333.0,30000,43279.75324399064,08,2021
Michigan,11498.0,29000,32238.227562898985,26,2021
Indiana,11437.0,18700,28781.829944547135,18,2021
Arizona,11367.0,30000,42418.12967361661,04,2021
Tennessee,9825.0,30400,39209.44068400427,47,2021
Washington,8973.0,45000,62298.97571978241,53,2021
Oklahoma,7534.0,33600,42647.29178157749,40,2021
Delaware,7308.0,8700,19417.719425504136,10,2021
Alabama,6989.0,20500,35543.21206743567,01,2021
Kansas,6263.0,42000,59909.06498194946,20,2021
New Hampshire,5730.0,10800,31873.84068278805,33,2021
Nevada,4944.0,18000,21685.08292880259,32,2021
Minnesota,4106.0,28500,44276.020612653876,27,2021
Missouri,3979.0,30000,39953.942199775534,29,2021
Nebraska,3752.0,35000,44449.7648567764,31,2021
Kentucky,3715.0,27000,33039.01471913487,21,2021
Louisiana,3582.0,19400,45427.53436677391,22,2021
District of Columbia,3503.0,34000,63107.48473748474,11,2021
Oregon,3481.0,51000,60235.51557302691,41,2021
Mississippi,3390.0,12200,20836.462974111982,28,2021
Hawaii,3084.0,25000,36898.05309734513,15,2021
New Mexico,2578.0,13400,43414.26109435588,35,2021
Iowa,2328.0,19600,24748.542458808617,19,2021
North Dakota,2252.0,0,15834.946714031972,38,2021
South Dakota,2250.0,13300,63546.88546550569,46,2021
Arkansas,2217.0,45000,55052.480655439234,05,2021
Idaho,1786.0,29600,43218.14781634938,16,2021
Utah,1675.0,51800,65989.56819739548,49,2021
West Virginia,1671.0,12000,50800.13192612137,54,2021
Alaska,663.0,12700,27825.718954248365,02,2021
Maine,503.0,68000,45635.38767395626,23,2021
Wyoming,456.0,48400,39534.29824561404,56,2021
Vermont,440.0,24000,74347.95454545454,50,2021
Montana,348.0,27000,36568.3908045977,30,2021
