NAME,total_population,english_only_rate,other_language_rate,limited_english_rate,state,year
Florida,514041.0,22.55,456.57,456.57,12,2021
New York,248251.0,226.84,3907.2,3907.2,36,2021
Pennsylvania,142252.0,522.51,4476.15,4476.15,42,2021
Massachusetts,129490.0,249.34,2641.17,2641.17,25,2021
New Jersey,126155.0,1472.13,29598.56,29598.56,34,2021
Texas,105370.0,,,,48,2021
Connecticut,93883.0,20.37,169.9,169.9,09,2021
Illinois,48734.0,7.16,97.75,97.75,17,2021
Ohio,40907.0,57.72,1283.36,1283.36,39,2021
California,40304.0,9.55,306.21,306.21,06,2021
North Carolina,40090.0,45.48,602.44,602.44,37,2021
Georgia,38120.0,6.02,472.4,472.4,13,2021
Virginia,35321.0,19.96,1378.09,1378.09,51,2021
Wisconsin,20897.0,29.97,944.36,944.36,55,2021
Maryland,16457.0,18.29,224.85,224.85,24,2021
Rhode Island,14008.0,2.1,26.94,26.94,44,2021
South Carolina,12723.0,5.65,148.48,148.48,45,2021
Colorado,12333.0,0.0,485.84,485.84,08,2021
Michigan,11498.0,17.09,259.32,259.32,26,2021
Indiana,11437.0,,,,18,2021
Arizona,11367.0,112.97,1395.32,1395.32,04,2021
Tennessee,9825.0,0.34,6.32,6.32,47,2021
Washington,8973.0,0.0,80.28,80.28,53,2021
Oklahoma,7534.0,0.0,2.96,2.96,40,2021
Delaware,7308.0,,,,10,2021
Alabama,6989.0,,,,01,2021
Kansas,6263.0,0.0,282.25,282.25,20,2021
New Hampshire,5730.0,18.25,108.32,108.32,33,2021
Nevada,4944.0,0.0,132.48,132.48,32,2021
Minnesota,4106.0,0.0,712.72,712.72,27,2021
Missouri,3979.0,0.27,2.62,2.62,29,2021
Nebraska,3752.0,11.11,76.01,76.01,31,2021
Kentucky,3715.0,0.14,6.82,6.82,21,2021
Louisiana,3582.0,0.0,28.22,28.22,22,2021
District of Columbia,3503.0,0.0,30.61,30.61,11,2021
Oregon,3481.0,0.0,8.78,8.78,41,2021
Mississippi,3390.0,0.38,16.24,16.24,28,2021
Hawaii,3084.0,0.0,82.5,82.5,15,2021
New Mexico,2578.0,2.21,63.51,63.51,35,2021
Iowa,2328.0,6.98,67.38,67.38,19,2021
North Dakota,2252.0,0.0,1.8,1.8,38,2021
South Dakota,2250.0,0.0,54.81,54.81,46,2021
Arkansas,2217.0,,,,05,2021
Idaho,1786.0,0.03,0.3,0.3,16,2021
Utah,1675.0,0.0,11.56,11.56,49,2021
West Virginia,1671.0,0.0,1.55,1.55,54,2021
Alaska,663.0,0.0,9.91,9.91,02,2021
Maine,503.0,0.0,21.61,21.61,23,2021
Wyoming,456.0,0.0,103.64,103.64,56,2021
Vermont,440.0,0.34,3.25,3.25,50,2021
Montana,348.0,0.0,2.94,2.94,30,2021
