realtime_start,realtime_end,date,value,year
2025-12-11,2025-12-11,2010-01-01,98381300000.0,2010
2025-12-11,2025-12-11,2011-01-01,100351700000.0,2011
2025-12-11,2025-12-11,2012-01-01,101564800000.0,2012
2025-12-11,2025-12-11,2013-01-01,102450000000.0,2013
2025-12-11,2025-12-11,2014-01-01,102445800000.0,2014
2025-12-11,2025-12-11,2015-01-01,103375500000.0,2015
2025-12-11,2025-12-11,2016-01-01,104336700000.0,2016
2025-12-11,2025-12-11,2017-01-01,103445526000.0,2017
2025-12-11,2025-12-11,2018-01-01,100958100000.0,2018
2025-12-11,2025-12-11,2019-01-01,105126400000.0,2019
2025-12-11,2025-12-11,2020-01-01,103130900000.0,2020
2025-12-11,2025-12-11,2021-01-01,106426600000.0,2021
2025-12-11,2025-12-11,2022-01-01,113843700000.0,2022
2025-12-11,2025-12-11,2023-01-01,118375000000.0,2023
2025-12-11,2025-12-11,2024-01-01,125841500000.0,2024
