realtime_start,realtime_end,date,value,year
2025-12-11,2025-12-11,2010-01-01,16.4,2010
2025-12-11,2025-12-11,2011-01-01,15.9,2011
2025-12-11,2025-12-11,2012-01-01,14.5,2012
2025-12-11,2025-12-11,2013-01-01,14.3,2013
2025-12-11,2025-12-11,2014-01-01,13.9,2014
2025-12-11,2025-12-11,2015-01-01,12.0,2015
2025-12-11,2025-12-11,2016-01-01,11.8,2016
2025-12-11,2025-12-11,2017-01-01,10.8,2017
2025-12-11,2025-12-11,2018-01-01,9.2,2018
2025-12-11,2025-12-11,2019-01-01,8.3,2019
2025-12-11,2025-12-11,2020-01-01,8.9,2020
2025-12-11,2025-12-11,2021-01-01,7.9,2021
2025-12-11,2025-12-11,2022-01-01,6.0,2022
2025-12-11,2025-12-11,2023-01-01,5.9,2023
2025-12-11,2025-12-11,2024-01-01,5.6,2024
